DATAFLOW,LAST UPDATE,freq,unit,tra_meas,tra_cov,schedule,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2020-04,29572,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2020-05,77346,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2020-06,157153,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2020-07,440150,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2020-08,547295,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2020-09,406960,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2020-10,268221,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2020-11,134357,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2020-12,167168,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2021-01,191261,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2021-02,191261,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2021-03,132522,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2021-04,162877,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2021-05,227275,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2021-06,411911,
ESTAT:AVIA_PAOC(1.0),16/10/23 11:00:00,M,PAS,PAS_BRD,TOTAL,TOT,BG,2021-07,878301,
